,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
108,SMACross,7,36,0.0373,27.7118,43.0000,14.0000,29.0000,0.3256,409.5115,-186.3696,4.0000,7.0000,2.1973,249,282,365,234,282.5000
109,SMACross,7,37,0.0625,27.0770,42.0000,14.0000,28.0000,0.3333,414.7405,-186.6944,4.0000,8.0000,2.2215,188,265,318,223,248.5000
110,SMACross,7,38,0.0573,28.2459,41.0000,14.0000,27.0000,0.3415,422.2337,-199.4192,4.0000,5.0000,2.1173,205,294,301,271,267.7500
111,SMACross,7,39,0.0126,29.7302,40.0000,13.0000,27.0000,0.3250,438.9521,-208.2947,3.0000,5.0000,2.1074,287,333,367,277,316.0000
112,SMACross,7,40,0.0369,28.7670,38.0000,13.0000,25.0000,0.3421,445.4382,-218.6537,3.0000,5.0000,2.0372,250,313,290,319,293.0000
113,SMACross,7,41,0.0202,30.4381,38.0000,12.0000,26.0000,0.3158,493.0844,-221.4929,2.0000,5.0000,2.2262,269,349,424,217,314.7500
114,SMACross,7,42,0.0032,31.3556,34.0000,10.0000,24.0000,0.2941,576.7580,-240.7859,2.0000,5.0000,2.3953,304,376,537,121,334.5000
115,SMACross,7,43,0.0017,31.2690,36.0000,11.0000,25.0000,0.3056,541.4500,-239.3024,2.0000,6.0000,2.2626,307,372,475,197,337.7500
116,SMACross,7,44,0.0465,31.2699,34.0000,11.0000,23.0000,0.3235,575.5204,-257.0081,3.0000,6.0000,2.2393,226,373,381,213,298.2500
117,SMACross,7,45,-0.0270,33.4750,34.0000,11.0000,23.0000,0.3235,536.5210,-270.1739,3.0000,7.0000,1.9858,362,438,381,343,381.0000
118,SMACross,7,46,0.0023,33.7149,34.0000,11.0000,23.0000,0.3235,567.5665,-272.3405,3.0000,7.0000,2.0840,306,449,381,291,356.7500
119,SMACross,7,47,0.0796,28.5942,32.0000,11.0000,21.0000,0.3438,568.9709,-262.3694,3.0000,6.0000,2.1686,159,305,279,249,248.0000
120,SMACross,7,48,0.0506,28.2977,33.0000,10.0000,23.0000,0.3030,599.1505,-240.4703,3.0000,7.0000,2.4916,214,297,491,92,273.5000
121,SMACross,7,49,0.0589,28.9347,33.0000,11.0000,22.0000,0.3333,534.6311,-242.6229,3.0000,6.0000,2.2035,199,319,318,229,266.2500
122,SMACross,7,50,0.0387,31.0307,32.0000,11.0000,21.0000,0.3438,521.0876,-256.6865,3.0000,6.0000,2.0301,245,368,279,324,304.0000
123,SMACross,8,10,-0.4229,50.0074,158.0000,51.0000,107.0000,0.3228,138.8433,-105.7016,5.0000,11.0000,1.3135,626,600,386,566,544.5000
124,SMACross,8,11,-0.3597,41.1693,139.0000,50.0000,89.0000,0.3597,146.5788,-120.8957,4.0000,14.0000,1.2124,601,585,215,581,495.5000
125,SMACross,8,12,-0.3278,37.8818,112.0000,38.0000,74.0000,0.3393,161.0729,-124.6577,3.0000,8.0000,1.2921,590,560,311,573,508.5000
126,SMACross,8,13,-0.3539,41.6598,103.0000,30.0000,73.0000,0.2913,210.5730,-132.7248,3.0000,11.0000,1.5865,599,587,549,504,559.7500
127,SMACross,8,14,-0.3226,38.7321,94.0000,30.0000,64.0000,0.3191,225.1631,-153.2119,4.0000,11.0000,1.4696,587,569,408,539,525.7500
128,SMACross,8,15,-0.2588,39.1167,86.0000,27.0000,59.0000,0.3140,265.1296,-161.9376,4.0000,9.0000,1.6372,567,575,442,489,518.2500
129,SMACross,8,16,-0.2017,34.3847,82.0000,26.0000,56.0000,0.3171,276.4136,-160.6699,4.0000,10.0000,1.7204,557,472,418,455,475.5000
130,SMACross,8,17,-0.1221,29.8499,72.0000,27.0000,45.0000,0.3750,250.0568,-172.1143,4.0000,6.0000,1.4529,479,336,164,544,380.7500
131,SMACross,8,18,-0.0515,25.4001,67.0000,24.0000,43.0000,0.3582,282.9330,-164.1689,4.0000,7.0000,1.7234,400,226,220,452,324.5000
132,SMACross,8,19,0.0713,19.3772,61.0000,22.0000,39.0000,0.3607,319.3623,-154.7501,3.0000,7.0000,2.0637,172,100,209,306,196.7500
133,SMACross,8,20,0.0707,18.9298,56.0000,23.0000,33.0000,0.4107,305.6106,-183.1706,3.0000,6.0000,1.6684,173,91,78,475,204.2500
134,SMACross,8,21,0.0911,19.7527,53.0000,20.0000,33.0000,0.3774,345.8909,-173.4699,3.0000,5.0000,1.9940,142,107,158,340,186.7500
135,SMACross,8,22,0.0318,20.6087,52.0000,21.0000,31.0000,0.4038,297.7589,-182.8404,3.0000,5.0000,1.6285,257,126,84,491,239.5000
136,SMACross,8,23,0.0875,19.7925,50.0000,21.0000,29.0000,0.4200,317.5252,-190.0526,3.0000,5.0000,1.6707,147,108,64,473,198.0000
137,SMACross,8,24,0.2102,17.3264,50.0000,19.0000,31.0000,0.3800,388.1751,-159.7547,2.0000,5.0000,2.4298,30,54,145,111,85.0000
138,SMACross,8,25,0.1876,15.6756,48.0000,17.0000,31.0000,0.3542,409.6620,-154.2253,2.0000,4.0000,2.6563,41,35,237,49,90.5000
139,SMACross,8,26,0.0890,19.5332,49.0000,16.0000,33.0000,0.3265,413.7688,-165.1497,2.0000,4.0000,2.5054,145,104,362,86,174.2500
140,SMACross,8,27,0.1084,17.3736,48.0000,16.0000,32.0000,0.3333,384.9748,-158.5988,2.0000,6.0000,2.4273,105,55,318,112,147.5000
141,SMACross,8,28,0.1438,18.7619,45.0000,16.0000,29.0000,0.3556,398.0654,-170.0247,3.0000,5.0000,2.3412,73,86,230,148,134.2500
142,SMACross,8,29,0.1384,18.4062,44.0000,14.0000,30.0000,0.3182,453.0339,-166.9283,2.0000,5.0000,2.7139,77,71,412,41,150.2500
143,SMACross,8,30,0.1900,19.3383,43.0000,15.0000,28.0000,0.3488,423.2579,-160.7411,3.0000,6.0000,2.6332,39,98,258,59,113.5000
144,SMACross,8,31,0.1804,20.2476,42.0000,15.0000,27.0000,0.3571,393.7242,-153.8319,3.0000,6.0000,2.5594,50,119,223,77,117.2500
145,SMACross,8,32,0.0468,28.6173,43.0000,16.0000,27.0000,0.3721,359.0297,-197.1020,3.0000,6.0000,1.8215,225,308,177,419,282.2500
146,SMACross,8,33,0.0640,28.2510,42.0000,15.0000,27.0000,0.3571,393.1941,-196.4507,4.0000,7.0000,2.0015,186,295,223,335,259.7500
147,SMACross,8,34,0.0475,28.5711,41.0000,16.0000,25.0000,0.3902,365.4210,-216.7044,4.0000,7.0000,1.6863,224,303,111,469,276.7500
148,SMACross,8,35,0.0583,28.8963,40.0000,15.0000,25.0000,0.3750,397.6325,-217.0977,4.0000,6.0000,1.8316,202,318,164,413,274.2500
149,SMACross,8,36,0.0165,29.1961,42.0000,15.0000,27.0000,0.3571,375.8658,-204.3228,4.0000,6.0000,1.8396,278,324,223,411,309.0000
150,SMACross,8,37,-0.0107,30.8282,39.0000,15.0000,24.0000,0.3846,369.3365,-237.0682,4.0000,5.0000,1.5579,339,364,126,518,336.7500
151,SMACross,8,38,0.0168,31.0174,41.0000,15.0000,26.0000,0.3659,404.6648,-228.6965,3.0000,6.0000,1.7694,277,367,195,444,320.7500
